primaryId	primaryNetwork	name	symbol	algorand	binance	bitcoin	ethereum	near	polygon	solana	tezos
fa7154b2-ed55-4387-a30a-c693916d01dc	ethereum	MakerDAO	MKR				fa7154b2-ed55-4387-a30a-c693916d01dc				
9bfc1278-75f8-4b2c-a72f-24f0cb0009b3	ethereum	Aave interest bearing WBTC	AWBTC				9bfc1278-75f8-4b2c-a72f-24f0cb0009b3				
a4841c7a-febb-4b22-9ee0-ffd5ef1ab480	ethereum	Aave interest bearing LINK	ALINK				a4841c7a-febb-4b22-9ee0-ffd5ef1ab480				
cb16073d-069f-4f8a-b87c-9a9af5e2c97e	ethereum	USD Coin	USDC				cb16073d-069f-4f8a-b87c-9a9af5e2c97e		597c0c0d-dd22-4b7a-81bd-ce1e6656a10f		
ad71d83d-ddd1-41c8-95c0-c7173134cf3a	ethereum	Fetch.ai	FET				ad71d83d-ddd1-41c8-95c0-c7173134cf3a				
9b99053a-e375-4d66-947b-f12852b8f682	ethereum	Aave Interest bearing Uniswap	AUNI				9b99053a-e375-4d66-947b-f12852b8f682				
adbc53b9-2284-420a-8fea-17f3b79ce84e	ethereum	Storj	STORJ				adbc53b9-2284-420a-8fea-17f3b79ce84e				
f072c7cf-eb12-44d3-8636-aa4a9e9caefb	ethereum	Aave Interest bearing UniUSDT	AUNIUSDT				f072c7cf-eb12-44d3-8636-aa4a9e9caefb				
c42c3009-7385-4ae4-a6fe-e06449dd191b	ethereum	Balancer	BAL				c42c3009-7385-4ae4-a6fe-e06449dd191b				
888ebc37-31c1-4413-aff8-b8a2a9a06c28	ethereum	Aave Interest bearing Aave Token	AAAVE				888ebc37-31c1-4413-aff8-b8a2a9a06c28				
4d1449ff-84d5-467d-8a31-a26089c28235	ethereum	Aave Interest bearing UniDAIETH	AUNIDAIETH				4d1449ff-84d5-467d-8a31-a26089c28235				
5e65cf5f-7381-42e7-a2c9-25af2c96882e	ethereum	Loopring	LRC				5e65cf5f-7381-42e7-a2c9-25af2c96882e				
8f07e928-1bf6-451f-b8d2-0ab819ec111a	ethereum	Compound	COMP				8f07e928-1bf6-451f-b8d2-0ab819ec111a				
b447363e-01af-4e1e-ba60-c47bf93f4ef6	ethereum	Synthetix Network Token	SNX				b447363e-01af-4e1e-ba60-c47bf93f4ef6				
74c29c83-d9e1-42f1-a761-982ba27efcd5	ethereum	Wrapped Ether	WETH				74c29c83-d9e1-42f1-a761-982ba27efcd5				
b807d2db-af75-4092-a2a0-8e6a14a743d2	ethereum	Ethereum Name Service	ENS				b807d2db-af75-4092-a2a0-8e6a14a743d2				
c02682c2-413a-4d72-9c88-b54c05e57840	ethereum	Wrapped Centrifuge	WCFG				c02682c2-413a-4d72-9c88-b54c05e57840				
b18077c2-c30f-4918-960e-1588cbe9300c	ethereum	Aave Interest bearing UniLENDETH	AUNILENDETH				b18077c2-c30f-4918-960e-1588cbe9300c				
3d1378ce-ef21-4128-acfa-023e8cf2e5e7	ethereum	The Graph	GRT				3d1378ce-ef21-4128-acfa-023e8cf2e5e7				
c68b6471-2119-45f2-b70b-ff04299c30a1	ethereum	Uniswap LEND LP	UNILENDETH				c68b6471-2119-45f2-b70b-ff04299c30a1				
a1f1ade7-a005-4c0d-9038-ca75e4d11aee	ethereum	CurveDAOToken	CRV				a1f1ade7-a005-4c0d-9038-ca75e4d11aee				
ba74f60e-91dd-4ccb-8c87-92414cc8d8b3	ethereum	Goldfinch	GFI				ba74f60e-91dd-4ccb-8c87-92414cc8d8b3				
9cdb5d15-dc27-44a4-ae64-6f6df4941634	ethereum	Tether USD	USDT				9cdb5d15-dc27-44a4-ae64-6f6df4941634				
b59c1375-ba72-4098-a6b5-e27b18504b83	ethereum	Alchemix	ALCX				b59c1375-ba72-4098-a6b5-e27b18504b83				
7c44a9fc-49c0-4897-9602-7379c7ef8a14	ethereum	Kyber Network Crystal	KNC				7c44a9fc-49c0-4897-9602-7379c7ef8a14				
4a00d86b-ab64-4c5b-ab66-ad5f0a35350e	ethereum	Somnium Space	CUBE				4a00d86b-ab64-4c5b-ab66-ad5f0a35350e				
283e17d9-0008-4e52-9ae3-f31808f0ba1e	ethereum	Aave Interest bearing UniUSDC	AUNIUSDC				283e17d9-0008-4e52-9ae3-f31808f0ba1e				
f5b23be8-ec36-484e-bb3a-10d9e93ca6bd	ethereum	Injective	INJ				f5b23be8-ec36-484e-bb3a-10d9e93ca6bd				
d1e05175-b270-4470-a706-079fcc908db8	ethereum	0x Protocol Token	ZRX				d1e05175-b270-4470-a706-079fcc908db8				
4a0ab804-b0a5-49a8-b419-ead8d6cd325e	ethereum	Uniswap sETH LP	UNISETHETH				4a0ab804-b0a5-49a8-b419-ead8d6cd325e				
5a4c5bc4-8de5-413c-a87d-c4807353df64	ethereum	Uniswap LINK LP	UNILINKETH				5a4c5bc4-8de5-413c-a87d-c4807353df64				
8804eac4-6ac7-48c7-bf80-ab269449b364	ethereum	Rally	RLY				8804eac4-6ac7-48c7-bf80-ab269449b364				
5648d755-015b-4a50-a285-edc8b8901060	ethereum	Enjin Coin	ENJ				5648d755-015b-4a50-a285-edc8b8901060				
0dce5ab7-9984-4a93-88fd-5e044fc9093a	ethereum	Moss Carbon Credit	MCO2				0dce5ab7-9984-4a93-88fd-5e044fc9093a				
88972ab5-c4bd-4d57-8749-84031fa3847b	ethereum	Amp	AMP				88972ab5-c4bd-4d57-8749-84031fa3847b				
31f11761-8e2a-4001-94e5-3f5c3099773a	near	NEAR Protocol	NEAR					31f11761-8e2a-4001-94e5-3f5c3099773a			
5a67f6f0-1814-46f9-8ccf-cb70f51b0a0c	polygon	Aavegotchi GHST Token	GHST						5a67f6f0-1814-46f9-8ccf-cb70f51b0a0c		
b6b92047-001d-45f0-aa13-7fd29d292550	polygon	Quickswap	QUICK						b6b92047-001d-45f0-aa13-7fd29d292550		
cfca8c20-9775-4f96-8d53-7d5aae706474	polygon	Telcoin	TEL						cfca8c20-9775-4f96-8d53-7d5aae706474		
ff342165-bc11-4e59-ba10-1a2638ee9283	polygon	Decentral Games	DG						ff342165-bc11-4e59-ba10-1a2638ee9283		
410377a6-4168-49c2-8a80-536811395fb2	solana	Solana	SOL							410377a6-4168-49c2-8a80-536811395fb2	
4978a57a-f918-4dc4-a5e0-c331b6733ac9	tezos	Tezos	XTZ								4978a57a-f918-4dc4-a5e0-c331b6733ac9
